latitude_longitude right distance added,latitude_longitude left distance added
10.0073103 76.37384990391092,10.0073103 76.37339329608909
10.0073122 76.37384900391226,10.0073122 76.37339239608775
10.007283 76.37385410389172,10.007283 76.37339749610828
10.0072769 76.37386500388743,10.0072769 76.37340839611258
10.0072731 76.37387220388476,10.0072731 76.37341559611525
10.0072696 76.3738775038823,10.0072696 76.37342089611771
10.007266 76.37387980387976,10.007266 76.37342319612023
10.0072536 76.37387250387104,10.0072536 76.37341589612896
10.0056393 76.4731667027361,10.0056393 76.47271009726391
10.0072407 76.37386210386197,10.0072407 76.37340549613802
10.0072314 76.37385940385543,10.0072314 76.37340279614456
10.0072269 76.37385720385227,10.0072269 76.37340059614773
10.0072086 76.3738520038394,10.0072086 76.37339539616059
10.0072046 76.3738497038366,10.0072046 76.37339309616341
10.007196 76.37385010383055,10.007196 76.37339349616944
10.0071875 76.37385080382457,10.0071875 76.37339419617543
10.0071792 76.37385300381872,10.0071792 76.37339639618126
10.0071766 76.37385390381691,10.0071766 76.37339729618309
10.0071808 76.37385310381987,10.0071808 76.37339649618013
10.0071849 76.37385270382273,10.0071849 76.37339609617726
10.0071875 76.37385300382456,10.0071875 76.37339639617542
10.0071883 76.37385420382513,10.0071883 76.37339759617485
10.0071889 76.37385550382555,10.0071889 76.37339889617445
10.0071891 76.3738571038257,10.0071891 76.37340049617431
10.0071896 76.37385860382605,10.0071896 76.37340199617395
10.007188 76.37386120382493,10.007188 76.37340459617508
10.0071854 76.3738643038231,10.0071854 76.37340769617691
10.0072035 76.37387790383582,10.0072035 76.37342129616417
10.0072096 76.3738823038401,10.0072096 76.3734256961599
10.0072046 76.37388330383659,10.0072046 76.3734266961634
10.0072023 76.37388330383497,10.0072023 76.37342669616503
10.0071942 76.37388040382929,10.0071942 76.37342379617071
10.0071913 76.37387840382725,10.0071913 76.37342179617276
10.0071896 76.37387810382604,10.0071896 76.37342149617395
12.0075892 75.37316385972,12.0075892 75.37270414028
10.0071818 76.37388100382056,10.0071818 76.37342439617943
10.0071827 76.37387890382121,10.0071827 76.3734222961788
10.0071841 76.37387330382218,10.0071841 76.37341669617781
10.0071842 76.37386980382226,10.0071842 76.37341319617775
10.0071836 76.37386580382183,10.0071836 76.37340919617817
10.0071779 76.37386370381782,10.0071779 76.37340709618218
10.0071879 76.37386410382486,10.0071879 76.37340749617515
10.0071924 76.37384730382801,10.0071924 76.373390696172
10.0071947 76.37384440382964,10.0071947 76.37338779617038
10.0072012 76.37384370383421,10.0072012 76.3733870961658
10.0072008 76.37384450383392,10.0072008 76.37338789616608
10.0072009 76.37384580383399,10.0072009 76.373389196166
10.0072682 76.37378490388132,10.0072682 76.37332829611869
10.0072796 76.37377530388933,10.0072796 76.37331869611067
10.0072763 76.37377830388701,10.0072763 76.37332169611298
10.0072725 76.37378240388435,10.0072725 76.37332579611567
10.0072666 76.37379720388019,10.0072666 76.3733405961198
10.0072646 76.37379700387879,10.0072646 76.37334039612122
10.0072734 76.37381220388497,10.0072734 76.37335559611503
10.0072777 76.37381110388799,10.0072777 76.373354496112
10.007316 76.37381020391493,10.007316 76.37335359608508
10.0073183 76.37380930391654,10.0073183 76.37335269608346
10.0073299 76.3738077039247,10.0073299 76.3733510960753
10.0073279 76.37380750392329,10.0073279 76.3733508960767
10.0073339 76.37381130392751,10.0073339 76.37335469607248
10.0073406 76.37381550393222,10.0073406 76.37335889606778
10.0073403 76.373794103932,10.0073403 76.37333749606799
10.007331 76.37377480392547,10.007331 76.37331819607454
10.0073135 76.37377550391317,10.0073135 76.37331889608684
10.007314 76.37378750391352,10.007314 76.37333089608649
10.0071999 76.37402460383329,10.0071999 76.3735679961667
10.0071166 76.37409430377473,10.0071166 76.37363769622529
10.0071084 76.37409240376896,10.0071084 76.37363579623106
10.0070573 76.37407480373302,10.0070573 76.37361819626697
10.0070555 76.37406180373176,10.0070555 76.37360519626824
10.0069673 76.37415400366974,10.0069673 76.37369739633026
10.0069071 76.37423570362742,10.0069071 76.37377909637257
10.0067238 76.37428560349855,10.0067238 76.37382899650146
